,BusinessPersonName,DetailsLinks
130,D. C. Kizhakemuri,https://en.wikipedia.org//wiki/D._C._Kizhakemuri
131,Chanda Kochhar,https://en.wikipedia.org//wiki/Chanda_Kochhar
132,Brij Kothari,https://en.wikipedia.org//wiki/Brij_Kothari
133,Dasari Kotiratnam,https://en.wikipedia.org//wiki/Dasari_Kotiratnam
134,R. K. Krishna Kumar,https://en.wikipedia.org//wiki/R._K._Krishna_Kumar
135,Suresh Krishna (businessman),https://en.wikipedia.org//wiki/Suresh_Krishna_(businessman)
136,K. Krishnamurthy,https://en.wikipedia.org//wiki/K._Krishnamurthy
137,Krishnaveni (actress),https://en.wikipedia.org//wiki/Krishnaveni_(actress)
138,Vaman Srinivas Kudva,https://en.wikipedia.org//wiki/Vaman_Srinivas_Kudva
139,Gulshan Kumar,https://en.wikipedia.org//wiki/Gulshan_Kumar
140,Verghese Kurien,https://en.wikipedia.org//wiki/Verghese_Kurien
141,Kalpana Lajmi,https://en.wikipedia.org//wiki/Kalpana_Lajmi
142,M. Veeraraghavachariar,https://en.wikipedia.org//wiki/M._Veeraraghavachariar
143,M. K. Mackar Pillay,https://en.wikipedia.org//wiki/M._K._Mackar_Pillay
144,J.J. Madan,https://en.wikipedia.org//wiki/J.J._Madan
145,Jamshedji Framji Madan,https://en.wikipedia.org//wiki/Jamshedji_Framji_Madan
146,Joe Madiath,https://en.wikipedia.org//wiki/Joe_Madiath
147,Ganpatrao Narayanrao Madiman,https://en.wikipedia.org//wiki/Ganpatrao_Narayanrao_Madiman
148,Vijay Mahajan,https://en.wikipedia.org//wiki/Vijay_Mahajan
149,Manish Maheshwari,https://en.wikipedia.org//wiki/Manish_Maheshwari
150,Jagdish Chandra Mahindra,https://en.wikipedia.org//wiki/Jagdish_Chandra_Mahindra
151,Kailash Chandra Mahindra,https://en.wikipedia.org//wiki/Kailash_Chandra_Mahindra
152,Vijay Mallya,https://en.wikipedia.org//wiki/Vijay_Mallya
153,Mammootty,https://en.wikipedia.org//wiki/Mammootty
154,Maneckji Byramji Dadabhoy,https://en.wikipedia.org//wiki/Maneckji_Byramji_Dadabhoy
155,Shaffi Mather,https://en.wikipedia.org//wiki/Shaffi_Mather
156,K. M. Mathew,https://en.wikipedia.org//wiki/K._M._Mathew
157,Lloyd Mathias,https://en.wikipedia.org//wiki/Lloyd_Mathias
